Key,Source,Context,Max Line Width,English,Francais,German
concreteCNRFull,blocks,Block,,ｺﾝｸﾘｰﾄ外ｺｰﾅｰ,,Concrete Full Corner
concreteCNRInside,blocks,Block,,ｺﾝｸﾘｰﾄ内ｺｰﾅｰ,,Concrete Inside Corner
concreteCNRRamp,blocks,Block,,ｺﾝｸﾘｰﾄ斜めｺｰﾅｰ,,Concrete Ramp Corner
concreteCTRPlate,blocks,Block,,ｺﾝｸﾘｰﾄ厚板ｾﾝﾀｰ,,Concrete Plate Centered
concreteEighth,blocks,Block,,1/8ｺﾝｸﾘｰﾄ,,1/8 Concrete Block
concreteGroupDesc,blocks,Block,,コンクリート（Concrete）グループは高い防御力を提供してくれます。非常に柔軟な形状のブロックを作れます。また、よりアップグレードも出来ます。,,"Concrete provides good protection and is a very flexible building material, allowing you to craft many shapes as you go. Can be upgraded."
concreteHalf,blocks,Block,,1/2ｺﾝｸﾘｰﾄ,,1/2 Concrete Block
concretePillar100,blocks,Block,,ｺﾝｸﾘｰﾄ円柱 100,,Concrete Pillar 100
concretePillar50,blocks,Block,,ｺﾝｸﾘｰﾄ円柱 50,,Concrete Pillar 50
concretePlate,blocks,Block,,ｺﾝｸﾘｰﾄ厚板,,Concrete Plate
concretePole,blocks,Block,,ｺﾝｸﾘｰﾄ細柱,,Concrete Pole
concretePyramid,blocks,Block,,ｺﾝｸﾘｰﾄ頂点,,Concrete Pyramid
concreteQuarter,blocks,Block,,1/4ｺﾝｸﾘｰﾄ,,1/4 Concrete Block
concreteRamp,blocks,Block,,ｺﾝｸﾘｰﾄ斜め,,Concrete Ramp
concreteStairs25,blocks,Block,,ｺﾝｸﾘｰﾄ階段,,Concrete Stairs
concreteTrim2Block,blocks,Block,,模様付きｺﾝｸﾘｰﾄ2,,Concrete Trim 2 Block
concreteWedge,blocks,Block,,ｺﾝｸﾘｰﾄｳｪｯｼﾞ,,Concrete Wedge
concreteWedgeTip,blocks,Block,,ｺﾝｸﾘｰﾄｳｪｯｼﾞ先端,,Concrete Wedge Tip
cookingPot,blocks,Block,,鍋,,Cooking Pot
cookingPotDesc,blocks,Block,,キャンプファイア（campfire）で作る料理のレシピを開放します。,,A cooking utensil used in the campfire to unlock recipes.
desertGround,blocks,Block Terrain,,砂漠の土,,Desert Ground
desertGroundDesc,blocks,Block Terrain,,砂です。地面に空いた穴を埋めることが出来ます。,,Replace missing pieces of terrain in the proper shade of sand.
endTable,blocks,Block,,テーブル,,End Table
endTableLamp,blocks,Block,,照明付ﾃｰﾌﾞﾙ,,End Table Lamp
faucet02,blocks,Block,,蛇口,,Household Faucet
faucet04,blocks,Block,,キッチン蛇口,,Household Faucet
faucetBrass02,blocks,Block,,真鍮蛇口,,Brass Faucet
faucetBrass04,blocks,Block,,キッチン真鍮蛇口,,Brass Faucet
fencesGroupDesc,blocks,Block,,フェンス(fence)を設置することで隣人は入ってこないでしょう。ゾンビになったら入ってくるけどね。高い場所から落ちないように設置しても良いです。,,Fences and railings can keep the neighbors out. Unless they have turned into zombies. Still useful for not falling from high places.
flagstoneBlock,blocks,Block,,敷石ブロック,,Flagstone Block
flagstoneStairs25,blocks,Block,,敷石階段,,Flagstone Stairs
flagstoneGroupDesc,blocks,Block,,敷石（Flagstone）ブロックは、コンクリートブロックに素早くアップグレード出来ます。,,Flagstone is not very sturdy but easy to craft early on.
furnitureGroupDesc,blocks,Block,,家具(furniture) は装備して、右クリックで設置出来ます。左クリックで殴る事はできません。向きを変更できます。\n防御力の点でも全く役に立ちませんが、生活に潤いを与えるでしょう。,,Furniture can make your place look pretty but it usually has little defensive value.
garageDoor1Centered,blocks,Block,,ｶﾞﾚｰｼﾞﾄﾞｱ,,Garage Door (Centered)
genericBlockDesc,blocks,Block,,世界を装飾するブロック群,,A world decoration block
glassGroupDesc,blocks,Block,,ガラス(glass)は寒風を防ぎつつ、光を通す素晴らしい発明品です。,,Glass is a wonderful invention that lets light in while keeping the cold wind out.
glassBusinessBlock,blocks,Block,,商用ガラス,,Business Glass Block
glassBusinessCTRSheet,blocks,Block,,商用ガラスｾﾝﾀｰ,,Business Glass Centered
glassBusinessSheet,blocks,Block,,商用ガラス枠,,Business Glass Pane
glassCTRSheet,blocks,Block,,ガラス枠,,Glass Pane
glassIndustrial02CTRPlate,blocks,Block,,工業ガラス2,,Industrial Glass 2 Centered
glassIndustrialCTRPlate,blocks,Block,,工業ガラス,,Industrial Glass Centered
glassShowerBlock,blocks,Block,,シャワー室ガラス,,Shower Glass Block
graveStone1,blocks,Block,,墓石,,Tomb Stone
hayBaleBlock,blocks,Block,,干し草,,Hay Bale
hayBaleBlockDesc,blocks,Block,,高いところから落ちても干し草（haybale）ブロックの上に着地出来ればダメージ・骨折を防ぎます。\nただし、ブロックの真上には何も置かないでください。,,Hay bales let you land safely and without breaking any important bones in your body.
houseFrontDoor1_v1,blocks,Block,,住宅用ドア1,,House Front Door 1
houseFrontDoor2_v1,blocks,Block,,住宅用ドア2,,House Front Door 2
ironBars,blocks,Block,,鉄格子,,Iron Bars
ironBarsDesc,blocks,Block,,鉄格子（iron Bars）は遠距離武器を貫通します。優れた防御力と視界を提供してくれます。\n弾薬など遠距離武器を通します。,,You can see and shoot through iron bars and they offer decent protection.
ironDoor1_v1,blocks,Block,,鉄のドア,,Hard Metal Door
ironDoor1_v1Desc,blocks,Block,,鉄製の頑丈なドア(iron door)です。[ACTIVE]キーを長押しするとロック・解除の切替えが出来ます。\n製錬鉄と建設ツールがあればさらに頑丈にできます。,,Press & hold [activate] to lock it or set a combination. Upgrade & repair with forged iron and a construction tool using the secondary action.
ironOre,blocks,Block,,鉄鉱石,,Iron Ore
rustyIronTable,blocks,Block,,鉄のテーブル,,Iron Table
keystoneBlock,blocks,Block,,陣地保護ブロック,,Land Claim Block
keystoneBlockDesc,blocks,Block,,陣地保護ブロック(key stone)はPVP戦において他のプレイヤーから陣地を守ります。\nPVEでは意味はありませんが、叩くと重厚な音が鳴り響きます。,,A land claim block can be placed to give the area around it extra protection from other players in PVP.
ladderMetal,blocks,Block,,鉄のハシゴ,,Metal Ladder
ladderMetalDesc,blocks,Block,,鉄製のハシゴ(Ladder)です。設置は右クリックで出来ます。,,A metal ladder piece. Face a wall and place the ladder by using the secondary action.
ladderWood,blocks,Block,,木のハシゴ,,Wooden Ladder
ladderWoodDesc,blocks,Block,,木製のハシゴ(Ladder)です。設置は右クリックで出来ます。,,A wooden ladder piece. Face a wall and place the ladder by using the secondary action.
leadOre,blocks,Block,,鉛鉱石,,Lead Ore
logCabinBlock,blocks,Block,,ログキャビンウッド,,Log Cabin Wood Block
mattress,blocks,Block,,マットレス,,Mattress
mattressFlat,blocks,Block,,フラットマットレス,,Mattress
mattressHalf,blocks,Block,,ハーフマットレス,,Mattress Half
metalRivetBlock,blocks,Block,,鉄が打ち付けられたブロック,,Riveted Metal Block
metalSignLetter_a,blocks,Block,,文字看板 A,,Metal Sign A
metalSignLetter_b,blocks,Block,,文字看板 B,,Metal Sign B
metalSignLetter_c,blocks,Block,,文字看板 C,,Metal Sign C
metalSignLetter_d,blocks,Block,,文字看板 D,,Metal Sign D
metalSignLetter_e,blocks,Block,,文字看板 E,,Metal Sign E
metalSignLetter_f,blocks,Block,,文字看板 F,,Metal Sign F
metalSignLetter_g,blocks,Block,,文字看板 G,,Metal Sign G
metalSignLetter_h,blocks,Block,,文字看板 H,,Metal Sign H
metalSignLetter_i,blocks,Block,,文字看板 I,,Metal Sign I
metalSignLetter_j,blocks,Block,,文字看板 J,,Metal Sign J
metalSignLetter_k,blocks,Block,,文字看板 K,,Metal Sign K
metalSignLetter_l,blocks,Block,,文字看板 L,,Metal Sign L
metalSignLetter_m,blocks,Block,,文字看板 M,,Metal Sign M
metalSignLetter_n,blocks,Block,,文字看板 N,,Metal Sign N
metalSignLetter_o,blocks,Block,,文字看板 O,,Metal Sign O
metalSignLetter_p,blocks,Block,,文字看板 P,,Metal Sign P
metalSignLetter_q,blocks,Block,,文字看板 Q,,Metal Sign Q
metalSignLetter_r,blocks,Block,,文字看板 R,,Metal Sign R
metalSignLetter_s,blocks,Block,,文字看板 S,,Metal Sign S
metalSignLetter_t,blocks,Block,,文字看板 T,,Metal Sign T
metalSignLetter_u,blocks,Block,,文字看板 U,,Metal Sign U
metalSignLetter_v,blocks,Block,,文字看板 V,,Metal Sign V
metalSignLetter_w,blocks,Block,,文字看板 W,,Metal Sign W
metalSignLetter_x,blocks,Block,,文字看板 X,,Metal Sign X
metalSignLetter_y,blocks,Block,,文字看板 Y,,Metal Sign Y
metalSignLetter_z,blocks,Block,,文字看板 Z,,Metal Sign Z
metalTrussingBlock,blocks,Block,,メタルトラッシング,,Metal Trussing Block
metalTrussingBlockDesc,blocks,Block,,メタルトラッシング（metal Trussing）は頑丈で、弾薬などの遠距離武器を通します。,,Metal trussing is quite sturdy and can be shot though.
mushrooms,blocks,Block,,マッシュルーム,,Mushrooms
mushroomsDesc,blocks,Block,,マッシュルーム（mushrooms）はそのまま食べる他にキャンプファイアで作る良レシピの材料になります。,,Mushrooms can be safely eaten uncooked or used in several recipes at the campfire.
mushroom01,blocks,Block,,マッシュルーム,,Mushrooms
mushroom01Desc,blocks,Block,,マッシュルーム（mushrooms）はそのまま食べる他にキャンプファイアで作る良レシピの材料になります。,,Mushrooms can be safely eaten uncooked or used in several recipes at the campfire.
treeAzalea,blocks,Block,,園芸低木,,Wood
officeChair01,blocks,Block,,オフィスチェア,,Office Chair
oilBarrel,blocks,Block,,オイルバレル,,Gas Barrel
oilBarrelDesc,blocks,Block,,オイルバレル（oil Barrel）は、攻撃を当てると爆発するのでトラップとしても使えます。\nPerkを取得すれば、gas canに分解することが出来ます。,,Gas barrels can be crafted into gas cans or shot and blown up for setting a trap. A barrel is worth 600 units of gas.
oldChair,blocks,Block,,木の椅子,,Wooden Chair
painting01,blocks,Block,,絵画 1 「風景画」,,Painting Landscape
painting02,blocks,Block,,絵画 2 「湖畔の家」,,Painting Lakehouse
pew_segment01,blocks,Block,,信者席 1,,Pew Segment 1
pew_segment02,blocks,Block,,信者席 2,,Pew Segment 2
pew_segment03,blocks,Block,,信者席 3,,Pew Segment 3
redWoodBlock,blocks,Block,,赤い木製のブロック,,Red Wood Block
plantedAloe3Harvest,blocks,Block,,アロエ,,Aloe Vera Plant
plantedAloe3HarvestDesc,blocks,Block,,アロエクリーム（Aloe Cream）の原料です。アロエクリームと布で止血効果＋回復効果のある包帯を作れます。,,The Aloe plant can be used to craft aloe cream.
plantedChrysanthemum3Harvest,blocks,Block,,紅キク,,Chrysanthemum
plantedChrysanthemum3HarvestDesc,blocks,Block,,紅いキクの花（chrysanthemum）です。キャンプファイアで作れる赤いお茶の原料になります。,,Chrysanthemum can be used to brew a cool and refreshing red tea.
plantedCotton3Harvest,blocks,Block,,綿花,,Cotton
plantedGoldenrod3Harvest,blocks,Block,,ｱｷﾉｷﾘﾝｿｳ,,Goldenrod Flower
plantedGoldenrod3HarvestDesc,blocks,Block,,黄金色のアキノキリンソウの（Golden Rod）花です。キャンプファイアで作れる黄色いお茶の原料になります。,,The goldenrod flower can be used to make goldenrod tea at a campfire.
rScrapIronPlate,blocks,Block,,クズ鉄板,,Pressure Plate
rScrapIronPlateDesc,blocks,Block,,粗末な鉄板（scrapIron Plate）です。ある程度の防御力も期待出来ます。\nクズ鉄板地雷と混ぜるな危険。,,This one is not going to explode... Probably.
rScrapIronPlateMine,blocks,Block,,クズ鉄板地雷,,Pressure Plate Mine
rScrapIronPlateMineDesc,blocks,Block,,クズ鉄と火薬が原料のお手軽地雷(Scrap iron plate mine)。敵の足を破壊、または爆殺出来ます。,,A primitive pressure plate mine made of scrap iron and gunpowder. Good for hobbling or killing most enemies.
railingOldWoodSheet,blocks,Block,,木の手すり,,Wood Railing
railingGroupDesc,blocks,Block,,手すり（Railing）があると高いところでも安心するでしょう。,,A railing is very useful for not falling from high places.
railingWoodWhiteSheet,blocks,Block,,白い木の手すり,,White Wood Railing
railingMetalSheet,blocks,Block,,鉄の手すり,,Metal Railing
railingBlackSheet,blocks,Block,,黒い鉄の手すり,,Black Iron Railing
railingWroughtIronSheet,blocks,Block,,錬鉄の手すり,,Wrought Iron Railing
redWoodPillar100,blocks,Block,,赤い円柱 100,,Red Wood Pillar 100
redWoodStairs25,blocks,Block,,赤い階段,,Red Wood Stairs
redWoodTable,blocks,Block,,赤い机,,Red Wood Table
scrapIronSheet,blocks,Block,,鉄くず製の薄い板,,Reinforced Metal Siding
rock01,blocks,Block,,小石,,Small Stone
rock02,blocks,Block,,小石,,Small Stone
rock03,blocks,Block,,小石,,Small Stone
rock04,blocks,Block,,小石,,Small Stone
rock05,blocks,Block,,小石,,Small Stone
rock06,blocks,Block,,小石,,Small Stone
rock07,blocks,Block,,小石,,Small Stone
rock08,blocks,Block,,小石,,Small Stone
rock09,blocks,Block,,小石,,Small Stone
rock10,blocks,Block,,小石,,Small Stone
rock11,blocks,Block,,小石,,Small Stone
rock12,blocks,Block,,小石,,Small Stone
sand,blocks,Block,,砂,,Sand
sandDesc,blocks,Block,,岩のように見えるかもしれませんが砂(sand)です。とても細かく柔らかいです。,,Like rocks... Only much smaller.
sandbagsBlock,blocks,Block,,砂袋,,Sandbags
scrapIronGrateSheet,blocks,Block,,クズ鉄の格子,,Scrap Iron Grate
scrapIronGrateSheetDesc,blocks,Block,,粗末な作りの格子(scrap Iron Grate)です。防衛力と建築の柔軟性を高めてくれます。遠距離武器を貫通します。アップグレード出来ます。,,"Grates are an alternative to iron bars. They offer decent protection, great flexibility in building, and you can fire guns through them. (Upgradable)"
scrapHatch_v1,blocks,Block,,クズ鉄製のハッチ,,Scrap Iron Hatch
scrapHatch_v1Desc,blocks,Block,,粗末な作りのハッチ（scrap Iron Hatch）です。[ACTIVE]長押しすると、ロック・解除ができます。鉄と建設ツールでアップグレード、修理が可能です。,,Press & hold [activate] to lock it or set a combination. Upgrade & repair with scrap iron and a construction tool using the secondary action. 
scrapIronGroupDesc,blocks,Block,,クズ鉄（scrap iron）グループは、コンクリートほど頑丈ではないが高い防御力を提供します。重量が重いので、重量オーバーによる崩落に注意してください。,,"While not as sturdy as solid concrete, metal constructions have high structural integrity, requiring fewer support pillars."
rScrapIronTable,blocks,Block,,クズ鉄の机,,Scrap Iron Table
scrapMetalPile,blocks,Block,,スクラップメタル抗,,Scrap Metal Pile
sectionalArm,blocks,Block,,古びたソファのアーム,,Old Couch Arm
sectionalArm2,blocks,Block,,革製ソファのアーム,,Leather Couch Arm
sectionalCorner,blocks,Block,,古びたソファのコーナー,,Old Couch Corner
sectionalCorner2,blocks,Block,,革製ソファのコーナー,,Leather Couch Corner
sectionalMiddle,blocks,Block,,古びたソファ,,Old Couch Middle
sectionalMiddle2,blocks,Block,,革製ソファ,,Leather Couch Middle
shoppingBasketEmpty,blocks,Block,,空の買い物カゴ,,Empty Shopping Basket
shoppingCartEmpty,blocks,Block,,空の買い物カート,,Empty Shopping Cart
snow,blocks,Block,,雪,,Snow
snowDesc,blocks,Block,,雪(snow)は空き缶に入れてキャンプファイアで煮れば水が手に入ります。瓶の場合は鍋も必要です。,,Snow is another source of water. Melt it at a campfire if you have some empty cans or jars.
sod,blocks,Block,,芝土,,Sod
sodDesc,blocks,Block,,植物繊維を織り込んだ土（sod）は建築材となります。乾くと固くなります。,,Mix plant fibers into the dirt to gain toughness. Allow some time to dry.
spotlight,blocks,Block,,携帯照射ライト,,Mobile Spotlight
spotlightDesc,blocks,Block,,あなたの砦や鉱山で役に立つ携帯スポットライト(Spotlight)です。修理にはトンカチと釘が必要です。,,A mobile spotlight you can light up your fort or mine. Use a hammer and some nails to secure it.
storeShelving01,blocks,Block,,商品棚,,Store Shelves
storeShelving01Double,blocks,Block,,商品棚ダブル（下側）,,Store Shelves Double
storeShelving01Top,blocks,Block,,商品棚（上側）,,Store Shelves (Top)
storeShelving01TopDouble,blocks,Block,,商品棚ダブル（上川）,,Store Shelves Double (Top)
streetLight01,blocks,Block,,街灯,,Street Light
treePlant02,blocks,Block,,観葉植物,,Potted Plant
tv,blocks,Block,,TV,,TV
vaultDoor01,blocks,Block,,Vaultドア,,Vault Door
vaultDoor01Desc,blocks,Block,,絶対防衛線に最適です。[ACTIVE]長押しでロック・解除ができます。非常に頑丈な扉です。,,Press & hold [activate] to lock or set a combination. Upgrade & repair with forged steel.
vaultHatch_v1,blocks,Block,,Vaultハッチ,,Vault Hatch
vaultHatch_v1Desc,blocks,Block,,絶対防衛線に最適です。[ACTIVE]長押しでロック・解除が出来ます。鍛造させた鋼で修理・アップグレード出来ます。非常に頑丈なハッチです。,,Press & hold [activate] to lock or set a combination. Upgrade & repair with forged steel.
ventDuctBlock,blocks,Block,,ダクト管,,Vent Duct
ventDuctBlockDesc,blocks,Block,,ダクト管（vent Duct）。残念ながら中に入り込むことkは出来ません。,,Galvanized vent duct.
ventDuctRamp,blocks,Block,,ダクト管斜め,,Vent Duct Ramp
ventDuctRampDesc,blocks,Block,,斜めのダクト管（vent Duct）。残念ながら中に入り込むことは出来ません。,,Galvanized vent duct.
wallTorch,blocks,Block,,松明,,Torch
wedgeBarnShingles,blocks,Block,,納屋ブロック斜め,,Barn Shingles Ramp
wedgeMetalRivet,blocks,Block,,鉄が打ち付けられたブロック斜め,,Riveted Metal Ramp
whitePicketFenceSheet,blocks,Block,,白い柵,,White Picket Fence
whitePicketFenceSheetDesc,blocks,Block,,白い柵（white picket fence）です。ウェイストランドでは白がよく映えます。,,A white picket fence to place in your yard.
window02,blocks,Block,,窓 2,,Window 2
window03,blocks,Block,,窓 3,,Window 3
window03Wood,blocks,Block,,木の窓,,Wood Window
woodDebris,blocks,Block,,木の瓦礫,,Wood Debris
woodHatch1_v1,blocks,Block,,木のハッチ,,Wooden Hatch
woodHatch1_v1Desc,blocks,Block,,木のハッチ(wood hatch)です。[ACTIVE]長押ししてロック・解除ができます。木と鉄があれば建設ツールでアップグレードと修理が出来ます。,,Press & hold [activate] to lock it or set a combination. Upgrade & repair with wood and a construction tool using the secondary action. 
woodFenceFarmSheet,blocks,Block,,農地用フェンス,,Wood Farm Fence
woodFenceSheet,blocks,Block,,木の板壁,,Wood Fence
woodFrameBlock,blocks,Block,,ウッドフレーム,,Wood Frame
woodFrameGroupDesc,blocks,Block,,ウッドフレーム（wood frame）建物の基本となるブロックです。木と建築ツールでアップグレードと修理ができます。鉄やコンクリートミックス、製錬鉄・製錬鋼でより幅広いアップグレードが出来ます。,,"Used for bases. Upgrade & repair with wood & a construction tool. Upgrade more with scrap iron, concrete mix & forged steel."
woodLogPillar100,blocks,Block,,ウッドログ,,Wood Log
woodLogPillar100Desc,blocks,Block,,ウッドログ（wood log）は、柱として調度よいです。,,Wood logs are good for crude walls to place spikes on top of.
woodPillar100,blocks,Block,,木の円柱 100,,Wood Pillar 100
woodPillar100Desc,blocks,Block,,柱（pillar）を強化するとより強靭な寺院を建設出来ます。,,A pillar to build a strong fence or a temple.
woodPlate,blocks,Block,,木の厚板,,Wood Plate
woodPole,blocks,Block,,木の細い柱,,Wooden Pole
woodShinglesBlock,blocks,Block,,木の屋根,,Wood Shingles
woodShinglesCNRFull,blocks,Block,,木の屋根ｺｰﾅｰ,,Wood Shingles Corner
woodShinglesPyramid,blocks,Block,,木の屋根頂点,,Wood Shingles Pyramid
woodShinglesRamp,blocks,Block,,木の屋根斜め,,Wood Shingles Ramp
woodShinglesGable,blocks,Block,,木の屋根,,Wood Shingles Gable
woodStairs25,blocks,Block,,木の階段,,Wood Stairs
woodSupport,blocks,Block,,木のサポートビーム,,Wooden Support Beam
woodTable,blocks,Block,,木のテーブル,,Wood Table
wroughtIronFenceSheet,blocks,Block,,凝った作りの薄板,,Wrought Iron Fence
wroughtIronPole,blocks,Block,,凝った作りの細柱,,Wrought Iron Pole
wroughtIronRamp,blocks,Block,,凝った作りの鉄斜めﾌﾞﾛｯｸ,,Wrought Iron Ramp
cobblestoneFrameBlock,blocks,Block Building,,玉石用ﾌﾚｰﾑ,,Cobblestone Frame
